Station;Sample;Filter;Photo;Type;Colour;Colour2;Colour3;Colour4;Colour Type;Length;Width;Area;Perimeter;Perimeter-2;Comments
St 901-A;St 901-A;1;7;Fibre;Purple;;;;;873.05;10.54;NA;NA;NA;NA
St 901-A;St 901-A;1;8;Fibre;Brown;;;;;1886.4;9.94;NA;NA;NA;NA
St 901-A;St 901-A;1;9;Paint/fragment;Blue/grey;;;;;192.53;83.54;12579;488.04;NA;NA
St 901-A;St 901-A;1;10;Paint;Blue;;;;;49.02;20.57;1775;149.00;NA;NA
St 901-A;St 901-A;1;3;Fibre;Transparent/purple;;;;;1185;12.67;NA;NA;NA;NA
St 901-B;St 901-B;2;1;Fibre;Light green;;;;;2738.97;313.21;867007.01;6111.10;NA;Rope from the boat?
St 901-B;St 901-B;2;2;Fibre;Brown/black;;;;;3007;14.36;NA;NA;NA;NA
St 901-C;St 901-C;3;-0;Fibre;Black;;;;;1085.82;21.56;NA;NA;NA;NA
St 901-C;St 901-C;3;-0;Fibre;Black;;;;;5332.5;21.56;NA;NA;NA;NA
St 901-C;St 901-C;3;1;Fibre;Black;;;;;1784.05;14.49;NA;NA;NA;NA
St 901-C;St 901-C;3;2;Fibre;Black;;;;;1197.24;3.12;NA;NA;NA;NA
St 901-C;St 901-C;3;2;Fibre;Light green;;;;;240;66.97;NA;NA;NA;Rope from the boat?
St 901-C;St 901-C;3;2;Fibre;Light green;;;;;163.49;85.65;NA;NA;NA;Rope from the boat?
St 901-C;St 901-C;3;3;Fragment;Blue;;;;;88.22;34.83;1111.37;238.80;NA;NA
St 901-C;St 901-C;3;4;Fibre;Purple;;;;;354.82;3.12;NA;NA;NA;NA
St 901-C;St 901-C;3;5;Paint;Blue;;;;;178.72;343.84;35497.35;965.54;NA;Paint from boat
St 901-C;St 901-C;3;6;Fibre;Blue;;;;;462.47;9;NA;NA;NA;NA
St 901-C;St 901-C;3;7;Fragment;Blue;;;;;252.49;81.05;13058.68;605.92;NA;Piece of bottle
St 901-C;St 901-C;3;8;Fibre;Blue;;;;;513.74;22.96;NA;NA;NA;NA
St 901-C;St 901-C;3;9;Fibre;Blue;;;;;414.51;38.96;NA;NA;NA;NA
St 901-C;St 901-C;3;10;Fibre;Blue;;;;;1312.4;17.84;NA;NA;NA;NA
St 902-A;St 902-A;4;-0;Fibre;Purple;;;;;451.29;11.3;NA;NA;NA;NA
St 902-A;St 902-A;4;1;Fibre;Light green;;;;;3915.47;43.02;NA;NA;NA;Rope from boat
St 902-B;St 902-B;5;-0;Fibre;Black/purple;;;;;372.78;6.35;NA;NA;NA;NA
St 902-B;St 902-B;5;1;Fibre;White;;;;;1439.19;113.68;NA;NA;NA;NA
St 902-C;St 902-C;6;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing found
St 903-A;St 903-A;7;-0;Fragment;Transparent/blue;;;;;608.48;191.43;104489.44;657.30;NA;Piece of buffer bottle?
St 903-A;St 903-A;7;1;Fragment;Transparent/blue;;;;;868.33;189.09;135662.17;842.30;NA;Piece of buffer bottle?
St 903-A;St 903-A;7;2;Fragment;Transparent/blue;;;;;1110.83;207.62;243155.38;645.26;NA;Piece of buffer bottle?
St 903-B;St 903-B;8;-0;Fibre;Transparent;;;;;1661.13;5.71;NA;NA;NA;NA
St 903-B;St 903-B;8;1;Fibre;Blue;;;;;2158.25;20.6;NA;NA;NA;NA
St 903-B;St 903-B;8;2;Fibre;Light purple;;;;;1087.49;12.83;NA;NA;NA;NA
St 903-B;St 903-B;8;3;Fibre;Brown;;;;;673.35;11.43;NA;NA;NA;NA
St 903-C;St 903-C;9;-0;Fibre;Brown;;;;;887.05;8.15;NA;NA;NA;NA
St 903-C;St 903-C;9;1;Fibre;Brown;;;;;574.15;10.39;NA;NA;NA;NA
St 904-A;St 904-A;10;-0;Fibre;Transparent/blue;;;;;942.1;9.27;NA;NA;NA;NA
St 904-B;St 904-B;11;-0;Fibre;Transparent/blue;;;;;1781;12.08;NA;NA;NA;NA
St 904-B;St 904-B;11;2;Fibre;Blue;;;;;433.41;19.1;NA;NA;NA;NA
St 904-B;St 904-B;11;4;Fibre;Blue;;;;;1889.24;16.27;NA;NA;NA;NA
St 904-B;St 904-B;11;5;Fibre;Transparent/blue;;;;;890.95;12.18;NA;NA;NA;NA
St 904-B;St 904-B;11;6;Fibre;Transparent/blue;;;;;2846.56;9.67;NA;NA;NA;NA
St 904-C;St 904-C;12;-0;Fibre;Brown/black;;;;;385.18;14.88;NA;NA;NA;NA
St 904-C;St 904-C;12;1;Fibre;Purple;;;;;1182.18;5.26;NA;NA;NA;NA
St 904-C;St 904-C;12;2;Fibre;Brown;;;;;774.53;13.76;NA;NA;NA;NA
St 905-A;St 905-A;13;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 905-B;St 905-B;14;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 905-C;St 905-C;15;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 906-A;St 906-A;16;-0;Fibre;Purple;;;;;258.94;20.38;NA;NA;NA;NA
St 906-A;St 906-A;16;1;Fibre;Purple;;;;;397.93;10.55;NA;NA;NA;NA
St 906-A;St 906-A;16;2;Fibre;Purple;;;;;256.01;7.04;NA;NA;NA;Same as St906-A 01
St 906-A;St 906-A;16;3;Fibre;Purple/transparent;;;;;1020.68;12.18;NA;NA;NA;NA
St 906-A;St 906-A;16;4;Fibre;Purple;;;;;429.08;10.1;NA;NA;NA;NA
St 906-A;St 906-A;16;5;Fibre;Light blue;;;;;516.33;12.12;NA;NA;NA;NA
St 906-A;St 906-A;16;6;Fibre;Light green;;;;;396.95;31.49;NA;NA;NA;Rope from boat?
St 906-A;St 906-A;16;7;Fibre;Purple;;;;;406.76;31.1;NA;NA;NA;NA
St 906-B;St 906-B;17;-0;Fragment;Light green;;;;;179.49;115.59;199.79;179.47;NA;Piece of rope?
St 906-B;St 906-B;17;1;Fibre;Black;;;;;809.4;7.14;NA;NA;NA;NA
St 906-C;St 906-C;18;-0;Fibre;Black;;;;;2224.38;11.71;NA;NA;NA;NA
St 906-C;St 906-C;18;1;Fibre;Black;;;;;1001.28;5.28;NA;NA;NA;NA
St 906-C;St 906-C;18;2;Fibre;Black;;;;;328.62;25.87;NA;NA;NA;NA
St 906-C;St 906-C;18;3;Fibre;Black/purple;;;;;432.68;4.68;NA;NA;NA;NA
St 906-C;St 906-C;18;4;Fibre;Transparent/blue;;;;;690.81;9.37;NA;NA;NA;NA
St 907-A;St 907-A;19;-0;Fibre;Light green;;;;;1540.15;54.47;NA;NA;NA;Rope from the boat?
St 907-A;St 907-A;19;-0;Fibre;Light green;;;;;1071.07;68.42;NA;NA;NA;Rope from the boat?
St 907-A;St 907-A;19;-0;Fibre;Red transparent;;;;;468.38;17.3;NA;NA;NA;NA
St907-B;St907-B;20;-0;Fragment;Light green;;;;;249.9;54.08;53.01;54.08;NA;NA
St 907-C;St 907-C;21;-0;Fragment;White;;;;;390;320.14;125635.62;1536.36;NA;Piece of filter?
St 907-C;St 907-C;21;-0;Fragment;White;;;;;237.61;183.14;49841.21;1026.26;NA;Piece of filter?
St 908-A;St 908-A;22;-0;Fibre;Transparent/blue;;;;;995.29;16.53;NA;NA;NA;NA
St 908-A;St 908-A;22;1;Fibre;Light red;;;;;532.03;15.71;NA;NA;NA;NA
St 908-A;St 908-A;22;2;Fragment;White;;;;;1280.33;91.38;104038;2848.23;NA;NA
St 908-B;St 908-B;23;1;Fragment;White;;;;;1086.36;90;66170.94;2251.38;NA;Same as in St908-A 02
St 908-B;St 908-B;23;2;Fibre;Blue;;;;;2200.91;6.97;NA;NA;NA;NA
St 908-B;St 908-B;23;2;Fibre;Blue;;;;;1513.96;6.97;NA;NA;NA;NA
St 908-B;St 908-B;23;3;Fibre;Blue;;;;;938.94;12.99;NA;NA;NA;NA
St 908-B;St 908-B;23;4;Fragment;White;;;;;419.08;56.21;35273.76;1200.09;NA;Same as in St908-A 02
St 908-C;St 908-C;24;-0;Fibre;Black;;;;;4980.94;13.84;NA;NA;NA;NA
St 908-C;St 908-C;24;1;Fibre;Red;;;;;2767.09;11.2;NA;NA;NA;NA
St 908-C;St 908-C;24;2;Fibre;Red;;;;;932.26;22.14;NA;NA;NA;NA
St 909-A;St 909-A;25;-0;Fibre;Black;;;;;5299.13;14.86;NA;NA;NA;NA
St 909-A;St 909-A;25;1;Fibre;Transparent/blue;;;;;1405.56;17.4;NA;NA;NA;NA
St 909-A;St 909-A;25;2;Fragment;Light blue;;;;;353.64;154.87;51868.65;943.48;NA;NA
St 909-A;St 909-A;25;3;Fibre;Black;;;;;682.83;9.97;NA;NA;NA;NA
St 909-A;St 909-A;25;4;Fibre;Transparent/blue;;;;;2004.4;12.46;NA;NA;NA;NA
St 909-A;St 909-A;25;5;Fragment;Black;;;;;335.35;38.94;32427.23;1096.86;NA;Looks like rubber
St 909-A;St 909-A;25;6;Fragment;Black;;;;;614.97;64.81;52713.66;2269.14;NA;Looks like rubber
St 909-A;St 909-A;25;7;Fibre;Blue;;;;;1701.44;17.4;NA;NA;NA;NA
St 909-B;St 909-B;26;-0;Fragment;Black;;;;;664.68;366.77;225452.71;3489.48;NA;Looks like rubber
St 909-B;St 909-B;26;1;Fibre;Transparent/blue;;;;;2015.33;14.35;NA;NA;NA;NA
St 909-B;St 909-B;26;2;Fibre;Brown/red;;;;;1014.46;14.27;NA;NA;NA;NA
St 909-B;St 909-B;26;3;Fibre;Transparent/blue;;;;;2811.52;12.57;NA;NA;NA;NA
St 909-B;St 909-B;26;4;Fibre;Back;;;;;588.78;31.75;NA;NA;NA;NA
St 909-C;St 909-C;27;-0;Fibre;Red/brown;;;;;5434.15;15.59;NA;NA;NA;NA
St 909-C;St 909-C;27;1;Fibre;Blue;;;;;1722.02;10.42;NA;NA;NA;NA
St 909-C;St 909-C;27;2;Fibre;Red/brown;;;;;820.51;4.18;NA;NA;NA;NA
St 910-A;St 910-A;28;-0;Fibre;Blue;;;;;1950.35;7.61;NA;NA;NA;NA
St 910-A;St 910-A;28;1;Fibre;Red;;;;;703.53;9.46;NA;NA;NA;NA
St 910-A;St 910-A;28;2;Fibre;Transparent/blue;;;;;1593.95;16.03;NA;NA;NA;NA
St 910-A;St 910-A;28;3;Fibre;Purple;;;;;669.05;7.37;NA;NA;NA;NA
St 910-A;St 910-A;28;6;Fragment;Red;;;;;398.85;61.38;24097.02;900.23;NA;NA
St 910-A;St 910-A;28;7;Fibre;Purple;;;;;638.52;12.17;NA;NA;NA;NA
St 910-A;St 910-A;28;8;Fibre;Purple;;;;;941.32;7.61;NA;NA;NA;NA
St 910-A;St 910-A;28;9;Fibre;Purple;;;;;420.16;10.96;NA;NA;NA;NA
St 910-A;St 910-A;28;10;Fibre;Transparent/blue;;;;;816.28;8.21;NA;NA;NA;NA
St 910-A;St 910-A;28;10;Fibre;Purple;;;;;1514.65;5.67;NA;NA;NA;NA
St 910-A;St 910-A;28;10;Fibre;Red;;;;;675.28;17.2;NA;NA;NA;NA
St 910-B;St 910-B;29;-0;Fibre;Brown;;;;;500.43;3.77;NA;NA;NA;NA
St 910-B;St 910-B;29;-0;Fibre;Brown;;;;;1273.35;3.77;NA;NA;NA;NA
St 910-B;St 910-B;29;1;Fibre;Brown;;;;;633.24;11.96;NA;NA;NA;Looks a bit like a hair
St 910-B;St 910-B;29;2;Fibre;Black;;;;;1111.11;5.06;NA;NA;NA;NA
St 910-B;St 910-B;29;3;Fibre;Black/brown;;;;;610.25;2.53;NA;NA;NA;NA
St 910-B;St 910-B;29;4;Fibre;Black/brown;;;;;902.37;8.19;NA;NA;NA;NA
St 910-B;St 910-B;29;5;Fibre;Black/brown;;;;;355.41;5.66;NA;NA;NA;NA
St 910-B;St 910-B;29;6;Paint;Blue;;;;;169.66;56.6;9076.55;411.25;NA;NA
St 910-B;St 910-B;29;7;Fibre;Transparent/blue;;;;;1192.67;5.66;NA;NA;NA;NA
St 910-B;St 910-B;29;7;Fibre;Transparent/blue;;;;;2834.35;11.37;NA;NA;NA;NA
St 910-B;St 910-B;29;8;Fibre;Transparent/red;;;;;2631.09;15.09;NA;NA;NA;NA
St 910-C;St 910-C;30;-0;Paint;NA;;;;;NA;NA;NA;NA;NA;Lots of paint from the boat
St 910 C;St 910 C;30;1;Fibre;Brown/black;;;;;1010.94;3.9;NA;NA;NA;NA
St 910 C;St 910 C;30;2;Fibre;Brown/black;;;;;1527.51;6.52;NA;NA;NA;NA
St 910 C;St 910 C;30;3;Fibre;Brown/black;;;;;489.48;8.47;NA;NA;NA;NA
St 910 C;St 910 C;30;4;Fibre;Brown/black;;;;;292.88;9.14;NA;NA;NA;NA
St 911-A;St 911-A;31;-0;Fragment;Black/transparent;;;;;407.56;66.69;37252.23;997.50;NA;Looks like rubber
St 911-A;St 911-A;31;1;Fibre;Blue;;;;;1176.64;6.5;NA;NA;NA;NA
St 911-A;St 911-A;31;2;Fibre;Transparent/blue;;;;;1049.64;13;NA;NA;NA;NA
St 911-A;St 911-A;31;3;Fibre;Purple;;;;;2287.41;15.61;NA;NA;NA;NA
St 911-B;St 911-B;32;-0;Fragment;Blue;;;;;243.02;31.89;10429.67;608.42;NA;NA
St 911-B;St 911-B;32;1;Fragment;Black/transparent;;;;;479.89;200.64;54301.12;1459.94;NA;NA
St 911-C;St 911-C;33;-0;Fragment;Purple;;;;;198.76;105.11;19508.29;577.88;NA;Looks like glas/crystal
St 911-C;St 911-C;33;2;Fibre;Brown;;;;;485.77;7.79;NA;NA;NA;NA
St 911-C;St 911-C;33;3;Fragment;Purple;;;;;303.68;202.3;54063.92;909.81;NA;Looks like glas/crystal
St 910+911 Blank;St 910+911 Blank;34;NA;NA;NA;;;;;NA;NA;NA;NA;NA;nothing found
Blank;Blank;-0;-0;Fibre;Black;;;;;823.15;10.31;NA;NA;NA;Blank from the clean bench
St 912-A;St 912-A;35;-0;Fibre;Black;;;;;1039.23;7.41;NA;NA;NA;NA
St 912-A;St 912-A;35;1;Fibre;Purple/black;;;;;890.22;6.99;NA;NA;NA;NA
St 912-A;St 912-A;35;2;Fibre;Transparent/purple;;;;;997.14;8.04;NA;NA;NA;NA
St 912-A;St 912-A;35;3;Fibre;Purple/black;;;;;369.83;2.47;NA;NA;NA;NA
St 912-A;St 912-A;35;4;Fibre;Light blue;;;;;2462.95;9.88;NA;NA;NA;NA
St 912-B;St 912-B;36;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
St 912-C;St 912-C;37;NA;NA;NA;;;;;NA;NA;NA;NA;NA;Nothing found
Blank 912;Blank 912;49;2;Fibre;transparent;;;;;787.38;17.96;NA;NA;NA;NA
Blank 912;Blank 912;49;3;Fibre;transparent;;;;;1411.55;22.58;NA;NA;NA;NA
St 913-A;St 913-A;38;-0;Fibre;Transparent/blue;;;;;476.25;10.49;NA;NA;NA;NA
St 913-A;St 913-A;38;1;Fibre;Transparent/red;;;;;1178.13;26.08;NA;NA;NA;NA
St 913-A;St 913-A;38;2;Paint;Blue;;;;;NA;NA;NA;NA;NA;Paint from boat
St 913-A;St 913-A;38;2;Paint;Blue;;;;;NA;NA;NA;NA;NA;Paint from boat
St 913-A;St 913-A;38;3;Paint;Bright red;;;;;300.98;145.6;45539.28;1037.84;NA;NA
St 913-B;St 913-B;39;-0;Fragment;Purple;;;;;221.37;27.44;8748.33;527.19;NA;Looks like glas/crystal
St 913-B;St 913-B;39;1;Fibre;Blue;;;;;923.74;12.27;NA;NA;NA;NA
St 913-C;St 913-C;40;-0;Fibre;Transparent/blue;;;;;718.48;11.8;NA;NA;NA;NA
St 913-Blank;St 913-Blank;41;-0;Fibre;Red/transparent;;;;;728.74;20.47;NA;NA;NA;NA
St 913-Blank;St 913-Blank;41;1;Fibre;Purple/transparent;;;;;719.13;18.47;NA;NA;NA;NA
St 914-A;St 914-A;42;-0;Fragment;Purple;;;;;206.49;68.69;13863.66;539.40;NA;Looks like glas/crystal
St 914-A;St 914-A;42;1;Fragment;Purple;;;;;252.69;102.88;26127.66;669.79;NA;Looks like glas/crystal
St 914-A;St 914-A;42;2;Fibre;Transparent/blue;;;;;2654.19;18.25;NA;NA;NA;NA
St 914-A;St 914-A;42;3;Fibre;Transparent/blue;;;;;1155.74;14.6;NA;NA;NA;NA
St 914-A;St 914-A;42;4;Fibre;Transparent/blue;;;;;1905.98;23.39;NA;NA;NA;NA
St 914-A;St 914-A;42;5;Fragment;Transparent/purple;;;;;200.99;65.93;6945.58;578.54;NA;NA
St 914-A;St 914-A;42;6;Fibre;Transparent/red;;;;;2510.15;9.41;NA;NA;NA;NA
St 914-A;St 914-A;42;7;Fragment;Transparent/purple;;;;;274.22;28.83;10092.94;691.55;NA;NA
St 914-A;St 914-A;42;8;Fibre;Purple;;;;;1412.59;7.42;NA;NA;NA;NA
St 914-B;St 914-B;43;2;Fibre;Red;;;;;7042.66;18.24;NA;NA;NA;NA
