"Sample ID","Replicate","Filter type","Debris after digestion [g] (incl. tare)","Tare of filter (average)","Debris after digestion [g]","Debris before digestion [g]","% left after digestion","Digestion efficiency [%]",
901,A,GF/C,0.092,0.09518,-0.00318,0.026,0,100,
901,B,GF/C,0.0935,0.09518,-0.00168,0.0529,-3.2,103.2,
901,C,GF/C,0.0926,0.09518,-0.00258,0.0906,-2.8,102.8,
902,A,GF/C,0.0936,0.09518,-0.00158,0.4761,-0.3,100.3,
902,B,GF/C,0.0971,0.09518,0.00192,0.3078,0.6,99.4,
902,C,GF/C,0.0982,0.09518,0.00302,0.1083,2.8,97.2,
903,A,GF/C,0.0994,0.09518,0.00422,0.4068,1,99,
903,B,GF/C,0.0979,0.09518,0.00272,0.2967,0.9,99.1,
903,C,GF/C,0.098,0.09518,0.00282,0.3368,0.8,99.2,
904,A,GF/C,0.0922,0.09518,-0.00298,0.1194,-2.5,102.5,
904,B,GF/C,0.0924,0.09518,-0.00278,0.0657,-4.2,104.2,
904,C,GF/C,0.0931,0.09518,-0.00208,0.0419,-5,105,
905,A,GF/C,0.0922,0.09518,-0.00298,0.0323,-9.2,109.2,
905,B,GF/C,0.0901,0.09518,-0.00508,0.0236,-21.5,121.5,
905,C,GF/C,0.0922,0.09518,-0.00298,0.0317,-9.4,109.4,
906,A,GF/C,0.0889,0.09518,-0.00628,0.0334,-18.8,118.8,
906,B,GF/C,0.0929,0.09518,-0.00228,0.026,-8.8,108.8,
906,C,GF/C,0.0929,0.09518,-0.00228,,,100,
907,A,"Membrane Filter, 0.22 µm",0.1408,0.14064,0.00016,0.0474,0.3,99.7,
907,B,"Membrane Filter, 0.22 µm",0.1418,0.14064,0.00116,0.0407,2.9,97.1,
907,C,"Membrane Filter, 0.22 µm",0.1438,0.14064,0.00316,0.038,8.3,91.7,
908,A,"Membrane Filter, 0.22 µm",0.1434,0.14064,0.00276,0.0428,6.4,93.6,
908,B,"Membrane Filter, 0.22 µm",0.1415,0.14064,0.00086,0.0279,3.1,96.9,
908,C,"Membrane Filter, 0.22 µm",0.1419,0.14064,0.00126,0.0612,2.1,97.9,
909,A,"Membrane Filter, 0.22 µm",0.1443,0.14064,0.00366,0.0955,3.8,96.2,
909,B,"Membrane Filter, 0.22 µm",0.1429,0.14064,0.00226,0.0623,3.6,96.4,
909,C,"Membrane Filter, 0.22 µm",0.1422,0.14064,0.00156,0.0385,4.1,95.9,
910,A,Nitrocellulose filter,0.078,0.07605,0.00195,0.0192,10.2,89.8,
910,B,Nitrocellulose filter,0.0777,0.07605,0.00165,0.021,7.9,92.1,
910,C,Nitrocellulose filter,0.0793,0.07605,0.00325,0.028,11.6,88.4,
911,A,Nitrocellulose filter,0.0782,0.07605,0.00215,0.037,5.8,94.2,
911,B,Nitrocellulose filter,0.0797,0.07605,0.00365,0.0561,6.5,93.5,
911,C,Nitrocellulose filter,0.0815,0.07605,0.00545,0.0751,7.3,92.7,
912,A,Nitrocellulose filter,0.0789,0.07605,0.00285,0.0497,5.7,94.3,
912,B,Nitrocellulose filter,0.0817,0.07605,0.00565,0.0789,7.2,92.8,
912,C,Nitrocellulose filter,0.0851,0.07605,0.00905,0.0873,10.4,89.6,
913,A,Nitrocellulose filter,0.0776,0.07605,0.00155,0.0206,7.5,92.5,
913,B,Nitrocellulose filter,0.0781,0.07605,0.00205,0.0363,5.6,94.4,
913,C,Nitrocellulose filter,0.0781,0.07605,0.00205,0.0375,5.5,94.5,
914,A,Nitrocellulose filter,0.0801,0.07605,0.00405,0.0507,8,92,
914,B,Nitrocellulose filter,0.0807,0.07605,0.00465,0.0382,12.2,87.8,
914,C,Nitrocellulose filter,0.0816,0.07605,0.00555,0.0507,10.9,89.1,
915,A,Nitrocellulose filter,0.0829,0.07605,0.00685,0.0108,63.4,36.6,
915,B,Nitrocellulose filter,0.0827,0.07605,0.00665,0.0256,26,74,
915,C,Nitrocellulose filter,0.085,0.07605,0.00895,0.0467,19.2,80.8,
916,A,Nitrocellulose filter,0.0872,0.07605,0.01115,0.0765,14.6,85.4,
916,B,Nitrocellulose filter,0.0844,0.07605,0.00835,0.0314,26.6,73.4,
916,C,Nitrocellulose filter,0.082,0.07605,0.00595,0.0225,26.4,73.6,
917,A,Nitrocellulose filter,,,,,,,
917,B,Nitrocellulose filter,0.1179,0.07605,0.04185,0.2349,17.8,82.2,
917,C,Nitrocellulose filter,0.113,0.07605,0.03695,0.2382,15.5,84.5,
918,A,Nitrocellulose filter,0.0782,0.07605,0.00215,0.0237,9.1,90.9,
918,B,Nitrocellulose filter,0.0799,0.07605,0.00385,0.0272,14.2,85.8,
918,C,Nitrocellulose filter,0.0795,0.07605,0.00345,0.0135,25.6,74.4,
919,A,Nitrocellulose filter,0.0789,0.07605,0.00285,0.1052,2.7,97.3,
919,B,Nitrocellulose filter,0.0793,0.07605,0.00325,0.0522,6.2,93.8,
919,C,Nitrocellulose filter,0.0796,0.07605,0.00355,0.0543,6.5,93.5,
920,A,Nitrocellulose filter,0.0816,0.07605,0.00555,0.0218,25.5,74.5,
920,B,Nitrocellulose filter,0.0832,0.07605,0.00715,0.0253,28.3,71.7,
920,C,Nitrocellulose filter,0.0826,0.07605,0.00655,0.024,27.3,72.7,
921,A,Nitrocellulose filter,0.0806,0.07605,0.00455,0.0654,7,93,
921,B,Nitrocellulose filter,0.0799,0.07605,0.00385,0.0902,4.3,95.7,
921,C,Nitrocellulose filter,0.0808,0.07605,0.00475,0.0704,6.7,93.3,
922,A,Nitrocellulose filter,0.0792,0.07605,0.00315,0.0321,9.8,90.2,
922,B,Nitrocellulose filter,0.0803,0.07605,0.00425,0.043,9.9,90.1,
922,C,Nitrocellulose filter,0.0797,0.07605,0.00365,0.0397,9.2,90.8,
